Type,SKU,Name,Short description,Description,Weight (lbs),Regular price
simple,SERF1554-55P-12-13-24,SERF1554-55P-12-13-24,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6""",0.27,0.6075
simple,SERF1554-55P-12-13-28,SERF1554-55P-12-13-28,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7""",0.315,0.70875
simple,SERF1554-55P-12-13-32,SERF1554-55P-12-13-32,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8""",0.36,0.81
simple,SERF1554-55P-12-13-36,SERF1554-55P-12-13-36,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9""",0.405,0.91125
simple,SERF1554-55P-12-13-40,SERF1554-55P-12-13-40,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 10""",0.45,1.0125
simple,SERF1554-55P-12-13-44,SERF1554-55P-12-13-44,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 11""",0.495,1.11375
simple,SERF1554-55P-12-13-48,SERF1554-55P-12-13-48,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'",0.54,1.215
simple,SERF1554-55P-12-13-52,SERF1554-55P-12-13-52,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-1""",0.585,1.31625
simple,SERF1554-55P-12-13-56,SERF1554-55P-12-13-56,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-2""",0.63,1.4175
simple,SERF1554-55P-12-13-60,SERF1554-55P-12-13-60,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-3""",0.675,1.51875
simple,SERF1554-55P-12-13-64,SERF1554-55P-12-13-64,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-4""",0.72,1.62
simple,SERF1554-55P-12-13-68,SERF1554-55P-12-13-68,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-5""",0.765,1.72125
simple,SERF1554-55P-12-13-72,SERF1554-55P-12-13-72,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-6""",0.81,1.8225
simple,SERF1554-55P-12-13-76,SERF1554-55P-12-13-76,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-7""",0.855,1.92375
simple,SERF1554-55P-12-13-80,SERF1554-55P-12-13-80,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-8""",0.9,2.025
simple,SERF1554-55P-12-13-84,SERF1554-55P-12-13-84,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-9""",0.945,2.12625
simple,SERF1554-55P-12-13-88,SERF1554-55P-12-13-88,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-10""",0.99,2.2275
simple,SERF1554-55P-12-13-92,SERF1554-55P-12-13-92,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 1'-11""",1.035,2.32875
simple,SERF1554-55P-12-13-96,SERF1554-55P-12-13-96,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'",1.08,2.43
simple,SERF1554-55P-12-13-100,SERF1554-55P-12-13-100,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-1""",1.125,2.53125
simple,SERF1554-55P-12-13-104,SERF1554-55P-12-13-104,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-2""",1.17,2.6325
simple,SERF1554-55P-12-13-108,SERF1554-55P-12-13-108,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-3""",1.215,2.73375
simple,SERF1554-55P-12-13-112,SERF1554-55P-12-13-112,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-4""",1.26,2.835
simple,SERF1554-55P-12-13-116,SERF1554-55P-12-13-116,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-5""",1.305,2.93625
simple,SERF1554-55P-12-13-120,SERF1554-55P-12-13-120,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-6""",1.35,3.0375
simple,SERF1554-55P-12-13-124,SERF1554-55P-12-13-124,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-7""",1.395,3.13875
simple,SERF1554-55P-12-13-128,SERF1554-55P-12-13-128,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 2'-8""",1.44,3.24
